2024-09-04 05:40:27,672 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/dayo/Downloads/apache-activemq-6.1.3-bin/apache-activemq-6.1.3/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:27,681 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[/home/dayo/Downloads/apache-activemq-6.1.3-bin/apache-activemq-6.1.3/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:27,695 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2024-09-04 05:40:27,696 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2024-09-04 05:40:27,896 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:27,897 | INFO  | PListStore:[/home/dayo/Downloads/apache-activemq-6.1.3-bin/apache-activemq-6.1.3/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2024-09-04 05:40:27,898 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:27,898 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:28,052 | INFO  | Apache ActiveMQ 6.1.3 (localhost, ID:dee-one-39861-1725442827909-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:28,075 | INFO  | Listening for connections at: tcp://dee-one:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-09-04 05:40:28,076 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2024-09-04 05:40:28,080 | INFO  | Listening for connections at: amqp://dee-one:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-09-04 05:40:28,080 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2024-09-04 05:40:28,084 | INFO  | Listening for connections at: stomp://dee-one:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-09-04 05:40:28,085 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2024-09-04 05:40:28,089 | INFO  | Listening for connections at: mqtt://dee-one:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-09-04 05:40:28,089 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2024-09-04 05:40:28,095 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2024-09-04 05:40:28,145 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2024-09-04 05:40:28,302 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4c6007fb{/,null,STARTING} has uncovered HTTP methods for the following paths: [/] | org.eclipse.jetty.security.SecurityHandler | main
2024-09-04 05:40:28,327 | INFO  | Listening for connections at ws://dee-one:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2024-09-04 05:40:28,327 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2024-09-04 05:40:28,328 | INFO  | Apache ActiveMQ 6.1.3 (localhost, ID:dee-one-39861-1725442827909-0:1) started | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:28,328 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2024-09-04 05:40:29,275 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2024-09-04 05:40:29,276 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2024-09-04 06:48:34,660 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1961232715-36
